Transportas,Marsrutas,ReisoID,MasinosNumeris,Ilguma,Ilguma_new,Platuma,Platuma_new,Greitis,Azimutas,ReisoPradziaMinutemis,NuokrypisSekundemis,MatavimoLaikas,MasinosTipas,KryptiesTipas,KryptiesPavadinimas,ReisoIdGTFS
Autobusai,53,24078371157,4551,25281855,25.281855,54697209,54.697209,12,184,717,-22,44494,KWZD,A>B,Stotis,A53-13-1-250425-ab-1200
Autobusai,53,24078381155,4579,25284023,25.284023,54704458,54.704458,23,358,715,255,44499,KWNZD,B>A,Fabijoniškės,A53-14-1-250425-ba-1200
Autobusai,53,24078391204,4566,25285048,25.285048,54714840,54.71484,0,76,724,76,44497,KWZD,A>B,Stotis,A53-15-1-250425-ab-1200
Autobusai,53,24078401132,771,25244219,25.244219,54731259,54.731259,0,144,692,0,44493,KZ,X>D,Kaimelio st.,A53-16-1-250425-xa-1650
Autobusai,2G,24078731201,4151,25208210,25.20821,54681238,54.681238,41,310,721,-48,44497,KZ,B>A,Santariškės,A2G-16-1-250425-ba-1200
Autobusai,2G,24078741143,4584,25239639,25.239639,54669452,54.669452,28,8,703,86,44493,KWNZD,A>B,Stotis,A2G-15-1-250425-ab-1140
Autobusai,2G,24078751117,4591,25281259,25.281259,54756436,54.756436,0,4,677,0,44491,KWNZD,B>A,Santariškės,A2G-17-1-250425-ab-1230
Autobusai,2G,24078791132,4179,25276581,25.276581,54740186,54.740186,29,348,692,108,44489,KWNZD,B>A,Santariškės,A2G-03-1-250425-ba-1130
Autobusai,2G,24078811149,4183,25226785,25.226785,54706991,54.706991,0,6,709,197,44495,KWNZD,B>A,Santariškės,A2G-05-1-250425-ba-1150
Autobusai,2G,24078821212,4192,25257766,25.257766,54735133,54.735133,0,248,732,-88,44494,KWNZD,A>B,Stotis,A2G-01-1-250425-ab-1210
Autobusai,2G,24078831139,4191,25259733,25.259733,54735305,54.735305,9,74,699,-12,44496,KWNZD,B>A,Santariškės,A2G-07-1-250425-ba-1140
Autobusai,2G,24078851214,4167,25268539,25.268539,54671723,54.671723,0,254,734,27,44500,KWZD,B>A,Santariškės,A2G-11-1-250425-ba-1210
Autobusai,2G,24078861153,4168,25216275,25.216275,54692373,54.692373,0,214,713,-13,44499,KWZD,A1>B,Stotis,A2G-10-1-250425-a1b-1150
Autobusai,2G,24078871127,4637,25283461,25.283461,54671046,54.671046,0,150,687,76,44493,Z,A>B,Stotis,A2G-13-1-250425-ba-1220
Autobusai,2G,24078881107,741,25292940,25.29294,54721037,54.721037,0,86,667,3484,44297,KZ,A>D1,Autobusų parkas (Verkių g.),A2G-12-1-250425-ad1-1110
Autobusai,2G,24078891221,4563,25280173,25.280173,54753322,54.753322,28,186,741,-5,44496,KWZD,A1>B,Stotis,A2G-14-1-250425-a1b-1220
Autobusai,2G,24078901136,4169,25271576,25.271576,54672237,54.672237,2,76,696,0,44489,KWZD,A1>B,Stotis,A2G-18-1-250425-ba-1230
Autobusai,2G,24078911201,4174,25229724,25.229724,54714590,54.71459,37,200,721,-12,44498,KWZD,A>B,Stotis,A2G-19-1-250425-ab-1200
Autobusai,2G,24078921126,4194,25281142,25.281142,54756453,54.756453,0,6,686,0,44499,KWNZD,B>A,Santariškės,A2G-20-1-250425-ab-1240
Autobusai,9,24079451154,4548,25274026,25.274026,54662551,54.662551,0,18,714,0,44498,KWNZ,B1>B2,Naujininkai,A9-01-1-250425-b2a1-1230
Autobusai,9,24079461202,4545,25249674,25.249674,54605861,54.605861,30,102,722,-34,44492,KWNZ,A1>B1,Salininkai,A9-02-1-250425-a1b1-1200
Autobusai,10,24079471153,4110,25286890,25.28689,54713083,54.713083,3,8,713,-31,44497,KWZ,B>A,Fabijoniškės,A10-05-1-250425-ba-1150
Autobusai,10,24079481136,729,25313658,25.313658,54674738,54.674738,19,92,696,134,44498,KZ,A>B,Markučiai,A10-04-1-250425-ab-1140
Autobusai,10,24079491201,4109,25285581,25.285581,54709121,54.709121,0,190,721,66,44493,KWZ,A>B,Markučiai,A10-03-1-250425-ab-1200
Autobusai,10,24079501146,939,25286216,25.286216,54686372,54.686372,13,202,706,33,44498,Z,A>B,Markučiai,A10-01-1-250425-ab-1150
Autobusai,10,24079521207,3039,25287321,25.287321,54687406,54.687406,0,32,727,85,44500,KZ,B>A,Fabijoniškės,A10-07-1-250425-ba-1210
Autobusai,10,24079541217,756,25256130,25.25613,54734480,54.73448,30,60,737,-17,44487,Z,A>B,Markučiai,A10-06-1-250425-ab-1220
Autobusai,10,24079551221,4113,25318918,25.318918,54674823,54.674823,8,300,741,-28,44492,KWZ,B>A,Fabijoniškės,A10-09-1-250425-ba-1220
Autobusai,10,24079561137,4111,25243970,25.24397,54731517,54.731517,0,326,697,0,44492,KWZ,B>A,Fabijoniškės,A10-10-1-250425-ab-1230
Autobusai,37,24079571201,956,25282029,25.282029,54697225,54.697225,28,6,721,31,44499,Z,B>A,Kalvarijų g.,A37-01-1-250425-ba-1200
Autobusai,27,24079581151,4106,25281984,25.281984,54697070,54.69707,24,8,711,-73,44496,KWZ,B>A,Kalvarijų g.,A27-02-1-250425-ba-1150
Autobusai,27,24079591203,967,25369229,25.369229,54695602,54.695602,19,48,723,16,44495,Z,A>B,Arimų g.,A27-01-1-250425-ab-1200
Autobusai,63,24079631202,773,25150285,25.150285,54712082,54.712082,12,116,722,753,44488,KZ,B>A,Žvėrynas,A63-01-1-250425-ba-1200
Autobusai,63,24079641202,4533,25131918,25.131918,54716107,54.716107,4,298,722,101,44499,KWZ,A>B,Karveliškės,A63-02-1-250425-ab-1200
Autobusai,30,24079671212,3110,25211476,25.211476,54699655,54.699655,0,104,732,-57,44497,KWZ,A>B,Šiaurės miestelis,A30-01-1-250425-ab-1210
Autobusai,30,24079691201,3103,25255196,25.255196,54699300,54.6993,35,282,721,-67,44495,KWZ,B>A,Pilaitė,A30-04-1-250425-ba-1200
Autobusai,30,24079701142,784,25299831,25.299831,54711229,54.711229,27,84,702,-4,44498,KZ,A>B,Šiaurės miestelis,A30-05-1-250425-ba-1230
Autobusai,30,24079711144,4530,25174966,25.174966,54709615,54.709615,9,172,704,70,44492,KWZ,B>A,Pilaitė,A30-03-1-250425-ba-1140
Autobusai,30,24079720658,3104,25215561,25.215561,54703169,54.703169,34,90,418,,44498,KWZ,D>A,Pilaitė,A30-06-1-250425-da-0700
Troleibusai,6,24079751158,1851,25269025,25.269025,54681644,54.681644,0,112,718,85,44498,KWNZ,B>A,Žirmūnai,T6-04-1-250425-ba-1200
Troleibusai,6,24079761206,1859,25284938,25.284938,54707143,54.707143,19,192,726,133,44492,KWNZ,A>B,Žemieji Paneriai,T6-11-1-250425-ab-1210
Troleibusai,6,24079771142,1826,25255517,25.255517,54677695,54.677695,24,228,702,198,44496,KWNZ,A>B,Žemieji Paneriai,T6-06-1-250425-ab-1140
Troleibusai,6,24079781153,1852,25277265,25.277265,54682551,54.682551,30,186,713,14,44498,KWNZ,A>B,Žemieji Paneriai,T6-08-1-250425-ab-1150
Troleibusai,6,24079791218,1857,25210758,25.210758,54646515,54.646515,14,48,738,27,44499,KWNZ,B>A,Žirmūnai,T6-01-1-250425-ba-1220
Troleibusai,6,24079811220,1822,25298035,25.298035,54723904,54.723904,33,180,740,37,44494,KWNZ,A>B,Žemieji Paneriai,T6-12-1-250425-ab-1220
Troleibusai,6,24079841130,1843,25295537,25.295537,54718467,54.718467,2,16,690,128,44493,KWNZ,B>A,Žirmūnai,T6-14-1-250425-ba-1130
Troleibusai,6,24079851132,1845,25216618,25.216618,54650030,54.65003,39,226,692,69,44495,KWNZ,A>B,Žemieji Paneriai,T6-09-1-250425-ab-1130
Troleibusai,6,24079891144,1811,25283007,25.283007,54700173,54.700173,0,10,704,31,44498,KWNZ,B>A,Žirmūnai,T6-16-1-250425-ba-1140
Troleibusai,6,24079911208,1846,25241239,25.241239,54670099,54.670099,26,54,728,63,44498,KWNZ,B>A,Žirmūnai,T6-18-1-250425-ba-1210
Troleibusai,10,24080051216,1827,25321880,25.32188,54724259,54.724259,0,238,736,26,44493,KWNZ,A>B,Naujininkai,T10-04-1-250425-ab-1220
Troleibusai,10,24080071135,1860,25340216,25.340216,54724090,54.72409,27,66,695,0,44496,KWNZ,B>A,Saulėtekis,T10-07-1-250425-ab-1230
Troleibusai,10,24080081140,1831,25265688,25.265688,54680781,54.680781,0,158,700,-47,44499,KWNZ,A>B,Naujininkai,T10-01-1-250425-ab-1140
Troleibusai,10,24080101201,1829,25289332,25.289332,54715516,54.715516,0,242,721,132,44499,KWNZ,A>B,Naujininkai,T10-03-1-250425-ab-1200
Troleibusai,10,24080111217,1849,25270694,25.270694,54669123,54.669123,29,346,737,104,44497,KWNZ,B>A,Saulėtekis,T10-09-1-250425-ba-1220
Troleibusai,10,24080121201,1856,25281747,25.281747,54694741,54.694741,34,0,721,166,44493,KWNZ,B>A,Saulėtekis,T10-06-1-250425-ba-1200
Autobusai,55,24094361148,8030,25243674,25.243674,54730313,54.730313,35,82,708,216,44496,KWZ,A>B,Santariškės,A55-01-1-250425-ab-1150
Autobusai,55,24094371143,8033,25207351,25.207351,54680574,54.680574,26,122,703,-53,44497,KWZ,B>A,Lazdynai,A55-02-1-250425-ba-1140
Autobusai,55,24094381007,8026,25209194,25.209194,54668972,54.668972,0,280,607,0,43126,KWZ,B>A,Lazdynai,A55-03-1-250425-ab-1540
Autobusai,55,24094391213,8012,25276496,25.276496,54739513,54.739513,7,168,733,27,44497,KWZ,B>A,Lazdynai,A55-04-1-250425-ba-1210
Autobusai,55,24094401217,8042,25206461,25.206461,54672917,54.672917,28,100,737,20,44497,KWZ,A>B,Santariškės,A55-05-1-250425-ab-1220
Autobusai,65,24094451208,7073,25340479,25.340479,54778394,54.778394,28,54,728,-8,44492,,A>B,Pagubė,A65-02-1-250425-ab-1210
Autobusai,65,24094461208,7075,25355651,25.355651,54780549,54.780549,21,162,728,-22,44497,KWZ,B>A,Ožkiniai,A65-03-1-250425-ba-1210
Autobusai,26,24135771133,7056,25277305,25.277305,54715401,54.715401,0,178,693,0,44498,KWZ,B>A,Ozo g.,A26-01-1-250505-ab-1230
Autobusai,26,24135781208,7019,25269562,25.269562,54786289,54.786289,14,146,728,200,44496,KWZ,B>A,Ozo g.,A26-02-1-250505-ba-1210
Autobusai,28,24135811155,7041,25179309,25.179309,54642573,54.642573,66,126,715,0,44498,KWZ,B>A,Žemieji Paneriai,A28-01-1-250505-ab-1240
Autobusai,28,24135821156,7027,25076190,25.07619,54678110,54.67811,24,106,716,78,44499,KWZ,A>B,Valai,A28-02-1-250505-ab-1200
Autobusai,61,24135851158,7005,25342940,25.34294,54633480,54.63348,0,258,718,85,44491,KWZ,A>B,Kuprioniškės,A61-01-1-250505-ab-1200
Autobusai,61,24135861159,7003,25285244,25.285244,54671185,54.671185,0,244,719,0,44488,KWZ,B>A,Stotis,A61-02-1-250505-ab-1230
Autobusai,87,24152021147,981,25217675,25.217675,54808946,54.808946,41,250,707,281,44497,Z,A>B,Šeškinė,A87-03-1-250508-ab-1150
Autobusai,5,24086971147,4507,25283955,25.283955,54703747,54.703747,27,92,707,255,44495,KWZ,A>B,Šiaurės miestelis,A5-03-1-250508-ab-1150
Autobusai,5,24086981216,4511,25304413,25.304413,54706152,54.706152,0,186,736,128,44496,KWZ,B>A,Pašilaičiai,A5-02-1-250508-ba-1220
Autobusai,5,24086991153,4034,25231478,25.231478,54736608,54.736608,0,322,713,-103,44491,KZ,B>A,Pašilaičiai,A5-01-1-250508-ba-1150
Autobusai,5,24087011217,4102,25222858,25.222858,54742071,54.742071,0,42,737,-8,44498,KWZ,A>B,Šiaurės miestelis,A5-05-1-250508-ab-1220
Autobusai,52,24087211143,4516,25274684,25.274684,54691461,54.691461,22,290,703,0,44498,KWZ,B4>A,Centras,A52-02-1-250508-ab4-1240
Autobusai,52,24087221156,3113,25237233,25.237233,54731605,54.731605,22,330,716,263,44499,KWZ,A>B4,Tarandė,A52-01-1-250508-ab4-1200
Autobusai,52,24087231207,3125,25226552,25.226552,54739906,54.739906,0,140,727,21,44496,KWZ,B4>A,Centras,A52-03-1-250508-b4a-1210
Autobusai,52,24087241215,797,25280794,25.280794,54695001,54.695001,18,282,735,-16,44498,KZ,A>B4,Tarandė,A52-04-1-250508-ab4-1220
Autobusai,52,24087251140,3123,25181057,25.181057,54749309,54.749309,10,174,700,0,44500,KWZ,A>B4,Tarandė,A52-05-1-250508-b4a-1220
Autobusai,3G,24151591220,4571,25277704,25.277704,54643658,54.643658,18,168,740,43,44492,KWZD,B>A,Fabijoniškės,A3G-09-1-250508-ba-1220
Autobusai,3G,24151621142,4570,25238531,25.238531,54730285,54.730285,31,340,702,178,44493,KWZD,B>A,Fabijoniškės,A3G-13-1-250508-ba-1140
Autobusai,3G,24151631053,4552,25243611,25.243611,54731369,54.731369,0,80,653,0,43160,KWZD,A>C,Kaimelio st.,A3G-12-1-250508-ca-1600
Autobusai,3G,24151641144,4560,25269235,25.269235,54672038,54.672038,21,166,704,116,44496,KWZD,A>B,Oro uostas,A3G-14-1-250508-ab-1140
Autobusai,3G,24151651152,4651,25268752,25.268752,54689190,54.68919,3,196,712,164,44499,Z,A>B,Oro uostas,A3G-15-1-250508-ab-1150
Autobusai,3G,24151661208,4658,25256603,25.256603,54704724,54.704724,49,150,728,24,44494,Z,A>B,Oro uostas,A3G-16-1-250508-ab-1210
Autobusai,3G,24151671133,4593,25241002,25.241002,54740208,54.740208,0,154,693,0,44499,KWNZD,B>A,Fabijoniškės,A3G-17-1-250508-ab-1230
Autobusai,3G,24151681158,4599,25278688,25.278688,54690371,54.690371,17,134,718,103,44494,KZ,B>A,Fabijoniškės,A3G-18-1-250508-ba-1200
